Mesto,Ime,Single,SingleRekord,Average,AverageRekord,Drzava,Poskusi,ImeRunde,IndeksRunde,Leto
1,Bálint Csengő,7.82,,8.86,,hu,8.06 (7.82) 9.23 (12.17) 9.29,3x3x3 Cube Final,0,2023
2,Alwin Federsel,7.35,,9.06,,at,(7.35) 9.34 7.57 10.26 (14.69),3x3x3 Cube Final,0,2023
3,Benedek Zimányi,8.37,,9.14,,hu,(8.37) 8.96 8.81 9.64 (11.64),3x3x3 Cube Final,0,2023
4,Marcel Ručigaj,7.87,,9.18,,si,(11.82) (7.87) 10.25 7.92 9.37,3x3x3 Cube Final,0,2023
5,Alexander Tenev,8.44,,9.19,,bg,9.35 (8.44) 9.60 (10.12) 8.62,3x3x3 Cube Final,0,2023
6,David Vujasić,8.41,,9.34,,hr,9.81 9.68 (10.60) 8.53 (8.41),3x3x3 Cube Final,0,2023
7,Szabolcs Szántai,9.04,,10.14,,hu,(9.04) (10.60) 9.67 10.33 10.42,3x3x3 Cube Final,0,2023
8,Gergely Novotni,7.96,,10.57,,hu,(7.96) 10.35 9.99 (15.25) 11.36,3x3x3 Cube Final,0,2023
9,Bence Kiácz,9.43,,10.63,,hu,10.24 (11.72) 11.08 10.56 (9.43),3x3x3 Cube Final,0,2023
10,Taiyo Berčič,9.66,,11.19,,si,(9.66) 11.90 10.96 (14.70) 10.71,3x3x3 Cube Final,0,2023
11,Dávid Szabó,9.67,,11.29,,hu,(12.03) (9.67) 10.58 11.91 11.38,3x3x3 Cube Final,0,2023
12,Benedek Hirth,9.47,,12.73,,hu,(15.17) 12.45 12.25 (9.47) 13.50,3x3x3 Cube Final,0,2023
1,David Vujasić,7.73,,8.89,,hr,8.18 8.68 (7.73) 9.80 (9.92),3x3x3 Cube Second round,1,2023
2,Alwin Federsel,6.58,,8.94,,at,7.06 (10.25) 10.21 9.55 (6.58),3x3x3 Cube Second round,1,2023
3,Gergely Novotni,8.42,,9.27,,hu,8.77 (8.42) 8.78 10.26 (10.90),3x3x3 Cube Second round,1,2023
