Mesto,Ime,Single,SingleRekord,Average,AverageRekord,Drzava,Poskusi,ImeRunde,IndeksRunde,Leto
1,Mattia Furlan,6.68,,8.32,,it,8.11 7.87 (9.84) (6.68) 8.98,3x3x3 Cube Second round,1,2019
2,Hunor Mogyorósi,7.28,,8.49,,hu,(7.28) 8.81 (9.28) 7.85 8.81,3x3x3 Cube Second round,1,2019
3,Lir Ukaj,7.28,NR,8.52,,xk,8.93 8.03 8.61 (7.28) (13.20),3x3x3 Cube Second round,1,2019
4,Gábor Slezák,7.02,,9.25,,hu,10.38 8.82 (7.02) 8.56 (13.67),3x3x3 Cube Second round,1,2019
5,Marcel Ručigaj,8.68,,9.95,,si,9.85 9.71 (8.68) 10.28 (11.34),3x3x3 Cube Second round,1,2019
6,Dominik Vidaković,8.71,,9.99,,hr,(11.91) 8.95 10.45 (8.71) 10.56,3x3x3 Cube Second round,1,2019
7,Andreas Wagner,9.06,,10.38,,at,(11.87) 10.03 10.24 10.87 (9.06),3x3x3 Cube Second round,1,2019
8,Jan Vodopivec Suhadolc,9.26,,10.61,,si,(12.09) (9.26) 10.15 10.08 11.59,3x3x3 Cube Second round,1,2019
9,Dominik Hoić,8.31,,11.03,,hr,11.96 (12.47) 11.67 (8.31) 9.47,3x3x3 Cube Second round,1,2019
10,Matic Omulec,8.40,,11.03,,si,(13.04) 11.21 11.62 (8.40) 10.25,3x3x3 Cube Second round,1,2019
11,Matej Bolta,10.63,,11.69,,si,(15.91) 10.78 13.62 10.68 (10.63),3x3x3 Cube Second round,1,2019
12,Bálint Csengő,11.50,,11.83,,hu,(11.50) 11.55 12.34 11.61 (15.53),3x3x3 Cube Second round,1,2019
13,Lan Fabjan,8.71,,11.85,,si,9.83 14.35 (14.70) (8.71) 11.36,3x3x3 Cube Second round,1,2019
14,Toni Varga,11.68,,12.67,,hr,(14.71) 11.87 (11.68) 12.46 13.69,3x3x3 Cube Second round,1,2019
15,Arne Hernah,12.13,,13.02,,si,14.31 (12.13) 12.19 (15.04) 12.56,3x3x3 Cube Second round,1,2019
16,Alexey Tsvetkov,10.67,,13.27,,ru,12.52 13.17 (14.28) (10.67) 14.12,3x3x3 Cube Second round,1,2019
17,Fabian Staber,9.90,,13.40,,at,11.68 (9.90) (17.18) 12.55 15.97,3x3x3 Cube Second round,1,2019
18,Erik Červek Roškarič,11.03,,14.56,,si,14.25 13.47 (DNF) (11.03) 15.97,3x3x3 Cube Second round,1,2019
19,Dušan Zakelšek,13.99,,15.34,,si,15.81 15.66 14.55 (13.99) (16.84),3x3x3 Cube Second round,1,2019
20,Jernej Omulec,14.21,,15.49,,si,15.75 16.27 (17.00) (14.21) 14.46,3x3x3 Cube Second round,1,2019
21,Marko Grabner,14.90,,16.25,,si,15.77 (18.45) (14.90) 17.72 15.26,3x3x3 Cube Second round,1,2019
22,Alex Strohriegel,14.88,,16.82,,at,19.00 (14.88) (21.69) 15.40 16.06,3x3x3 Cube Second round,1,2019
23,Serafim Weiß,14.94,,17.20,,de,16.34 18.94 (14.94) 16.33 (22.25),3x3x3 Cube Second round,1,2019
24,Jon Napotnik,14.55,,18.88,,si,(14.55) 18.21 19.11 19.33 (23.06),3x3x3 Cube Second round,1,2019
25,David Črnac,12.97,,19.71,,si,18.03 (12.97) 23.47 (DNF) 17.63,3x3x3 Cube Second round,1,2019
26,Filip Vrecl,16.90,,19.86,,si,(16.90) 18.32 (22.89) 19.02 22.24,3x3x3 Cube Second round,1,2019
27,Sandra Mavsar,19.22,,20.72,,si,(22.03) (19.22) 20.18 20.77 21.21,3x3x3 Cube Second round,1,2019
28,Tian Šterman Terbec,17.50,,20.80,,si,(17.50) 19.37 (26.20) 23.00 20.03,3x3x3 Cube Second round,1,2019
29,Barbara Mavsar,20.13,,21.63,,si,22.69 20.60 21.59 (20.13) (26.85),3x3x3 Cube Second round,1,2019
30,Stefan Lepolt,16.60,,21.83,,at,18.81 23.55 (39.60) (16.60) 23.12,3x3x3 Cube Second round,1,2019
